video_id,datetime,title
XT0WblJZqSo,2024-07-04T20:00:09Z,Sheldon Gets Fired | The Big Bang Theory
P2A82K1sG48,2024-07-04T12:00:21Z,Nerds and Their Moms | The Big Bang Theory #shorts
looMyVTPOn8,2024-07-04T07:00:21Z,Funny Moments from Seasons 11 and 12 | The Big Bang Theory
j6YOTFV_w5M,2024-07-03T20:00:16Z,Is Sheldon a Robot? | The Big Bang Theory
UUTQluNYg5I,2024-07-03T17:00:19Z,Professor Proton Picks Leonard Over Sheldon | The Big Bang Theory
W6YoST3hOPQ,2024-07-03T12:00:26Z,These Comic Book Guys Stay Lurking 👀 | The Big Bang Theory #shorts
Csnef25I-h4,2024-07-02T20:00:04Z,The Sword of Azeroth | The Big Bang Theory
yRn_ESdW8Es,2024-07-02T17:00:41Z,Leonard Rejects Penny&#39;s Proposal | The Big Bang Theory
Nrs8VZhaVTQ,2024-07-02T12:00:32Z,The Girls Debate Over Thor&#39;s Hammer 😂 | The Big Bang Theory #shorts
e8izofJOJlU,2024-07-01T20:00:25Z,Raj Speaks to Penny for the First Time | The Big Bang Theory
txeCzuxqmbg,2024-07-01T17:00:40Z,Howard Loves Girls&#39; Night | The Big Bang Theory
9wWC_rObwBY,2024-07-01T14:00:06Z,Unforgettable Sheldon Cooper Moments (Season 5) | The Big Bang Theory
FqY91YPcoKY,2024-07-01T12:00:15Z,Leonard Has Better Makeup Than Penny | The Big Bang Theory #shorts
fLwha2wcPVA,2024-06-30T17:00:33Z,Sheldon Isn&#39;t Funny | The Big Bang Theory
k15DOfvW4rg,2024-06-30T12:00:50Z,&quot;Enterprise&quot; 😂 | The Big Bang Theory #shorts
a71rH2xdZC4,2024-06-29T17:00:00Z,Howard Crashed the Mars Rover | The Big Bang Theory
844Q1aMzDP4,2024-06-29T12:00:05Z,When You&#39;re a Sore Loser | The Big Bang Theory #shorts
SMC3jYN5Oio,2024-06-28T20:00:10Z,Howard Hooks Up with Christy | The Big Bang Theory
684aD8slnjY,2024-06-28T17:00:03Z,Sheldon Is a Terrible Liar | The Big Bang Theory
RQBmUMsLV1s,2024-06-28T16:00:33Z,Catering Crises | The Big Bang Theory
2VNt7MFKDL4,2024-06-28T12:00:03Z,Amy Breaks Down | The Big Bang Theory #shorts
WGCW1fIikpE,2024-06-27T20:00:22Z,The Flash⁴ | The Big Bang Theory
BWQiHL4_pF0,2024-06-27T17:00:14Z,Leonard Hooks Up with Howard’s Date | The Big Bang Theory
69cqd_0o4VM,2024-06-27T14:00:06Z,Iconic Season 1 Moments (The Boys) | The Big Bang Theory
EhK7YKOetL4,2024-06-27T12:00:12Z,Leonard Needs Help! | The Big Bang Theory #shorts
Q000ict3i-0,2024-06-26T20:00:18Z,Superman Is Rife With Scientific Inaccuracy | The Big Bang Theory
S35qfgli1eE,2024-06-26T17:00:27Z,Howard Tries Peacocking | The Big Bang Theory
cP13Hi0UAZE,2024-06-26T12:00:28Z,You and Stuart... Why? | The Big Bang Theory #shorts
rBzE5yW2RMk,2024-06-25T20:00:16Z,Raj’s First Interaction With Penny | The Big Bang Theory
wuELM-XQDlM,2024-06-25T17:00:45Z,The Girls Go to the Comic Book Store | The Big Bang Theory
4t214SOmffk,2024-06-25T12:00:05Z,Roller Buddies | The Big Bang Theory #shorts
V40VgN4cq78,2024-06-24T20:00:08Z,Sheldon and Leonard Sneak Into Penny&#39;s Room | The Big Bang Theory
JTaofpl-frQ,2024-06-24T14:00:11Z,Unforgettable Leonard Moments (Season 3) | The Big Bang Theory
W7eLFFyRVd4,2024-06-24T13:00:34Z,Getting to 3rd Base | The Big Bang Theory #shorts
h7K_JjWB_wk,2024-06-23T17:00:34Z,Leonard Gets Proof that Penny Is Real | The Big Bang Theory
qfQDdjrMIbI,2024-06-22T17:00:25Z,The Girls Debate Thor&#39;s Hammer | The Big Bang Theory
dfn4w71UlUw,2024-06-21T20:00:13Z,Sheldon and Leonard Meet Penny | The Big Bang Theory
OqmuEW9yUiQ,2024-06-21T17:00:26Z,Penny Ruins Laundry Night for Sheldon | The Big Bang Theory
AcbV2Os_V9A,2024-06-21T15:00:17Z,Musical Acts | The Big Bang Theory
q6aiLW8nWwc,2024-06-21T13:01:00Z,The #1 Most Common Name in the World 🌎 | The Big Bang Theory #shorts
rl_fQGwHZr4,2024-06-20T17:00:37Z,Sheldon and Penny do Yoga | The Big Bang Theory
mPkz_IcJAQ8,2024-06-20T14:00:41Z,Hilarious Howard Moments (Season 12) | The Big Bang Theory
5SZxS3Uf7BA,2024-06-20T13:00:05Z,Raj Loves America 🇺🇸 | The Big Bang Theory #shorts
4xyg9ZY-DTw,2024-06-19T20:00:02Z,Howard and Raj Kiss...Through the Internet | The Big Bang Theory
ohQaA524yfU,2024-06-19T17:00:38Z,Penny Banishes Sheldon from The Cheesecake Factory | The Big Bang Theory
pJyXh25gQVc,2024-06-19T12:00:58Z,Amy Looks Weird Without Her Glasses | The Big Bang Theory #shorts
oEMnXKhk36M,2024-06-18T21:34:17Z,Penny and Raj in Bed Together?! | The Big Bang Theory
9lbvW4BnyNY,2024-06-18T17:00:06Z,Leonard Badly Misreads the Situation | The Big Bang Theory
ojW4DjNiIUo,2024-06-17T20:00:38Z,Leonard Asks Penny for a Favor | The Big Bang Theory
-vnoTjlCoyA,2024-06-17T17:00:00Z,Sheldon Is Being Forced to Take a Vacation | The Big Bang Theory
-vnoTjlCoyA,2024-06-17T17:00:00Z,Sheldon Is Being Forced to Take a Vacation | The Big Bang Theory
OxEc_epF7vM,2024-06-17T14:00:12Z,Unforgettable Leonard Moments (Season 2) | The Big Bang Theory
gb_EV_OZ5yg,2024-06-17T12:00:42Z,Sheldon Feels Snubbed | The Big Bang Theory #shorts
a8ekf7xxySo,2024-06-16T17:00:01Z,Bernadette Ruins a Rare Comic Book | The Big Bang Theory
lcFr808_0Jk,2024-06-16T12:00:50Z,Howard and Raj Had the Best Bromance | The Big Bang Theory #shorts
-hj9-lmttyM,2024-06-15T17:00:00Z,Leonard and Penny Make Dinner Awkward for Everyone | The Big Bang Theory
kkWsVneI4u0,2024-06-15T12:00:54Z,Sheldon Discovers Self-Massage | The Big Bang Theory #shorts
i_clg25beMU,2024-06-14T17:00:34Z,Sheldon Travels to Flatland | The Big Bang Theory
0WExy7I-bgA,2024-06-14T16:00:01Z,Zany Zoological Moments | The Big Bang Theory
gOPio7mgNyE,2024-06-14T12:00:45Z,Leonard Has Tummy Issues | The Big Bang Theory #shorts
4rHq0auphws,2024-06-13T20:00:01Z,Penny’s Admirer Shows up at Her Door | The Big Bang Theory
22KbpBEOJAo,2024-06-13T20:00:02Z,Sheldon Has to Invite His Brother to His Wedding | The Big Bang Theory
iOkRJzwlnAw,2024-06-13T14:00:37Z,Unforgettable Sheldon Cooper Moments (Season 4) | The Big Bang Theory
OaQsv4LoReY,2024-06-13T12:00:24Z,Sheldon Got LAWYERED | The Big Bang Theory #shorts
97cwa8tyblw,2024-06-12T20:00:06Z,Hannah Montana as explained by Raj | The Big Bang Theory
15cuAzuELOc,2024-06-12T20:00:00Z,Sheldon Asks for Half a Billion Dollars | The Big Bang Theory
fI5n8s23Obk,2024-06-12T12:00:44Z,Sheldon Goes Dancing | The Big Bang Theory #shorts
DHPZldOBo0Y,2024-06-11T20:00:05Z,Howard and Raj Spy on Leonard’s Date With Penny | The Big Bang Theory
T5j0oNct3rE,2024-06-11T12:00:26Z,Death Star Cake | The Big Bang Theory #shorts
